test_name,test_status,test_result
parmcmisc_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmcmisc_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmcmisc_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmcmisc_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmcmisc_atspeed_edt_edt_low_internal_serial_scan,FAIL,Error between simulated and expected patterns
parmcmisc_atspeed_edt_bypass_low_internal_serial_scan,FAIL,Error between simulated and expected patterns
parmcmse_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmcmse_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmcmse_atspeed_edt_bypass_low_internal_serial_scan,FAIL,Error between simulated and expected patterns
parmcmse_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmcmse_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmcmse_atspeed_edt_edt_low_internal_serial_scan,FAIL,Error between simulated and expected patterns
parmemphy_ijtag_basic_tap_tests_rw_access,FAIL,"Fail, RequiredText not found"
parmcmse_ijtag_basic_tap_tests_rw_access,PASS,PASS
parmemsram_ijtag_basic_tap_tests_rw_access,PASS,PASS
pardfi_ijtag_basic_tap_tests_rw_access,PASS,PASS
parmcmisc_ijtag_basic_tap_tests_rw_access,FAIL,Error between simulated and expected patterns
parmccore_ijtag_basic_tap_tests_rw_access,PASS,PASS
